track_id,track_name,plays,artist_id
1HMJPJp47JA03weDi0SGfi,"Meu Dinheiro, Minhas Regras",952359,5U55IfWwerZXAqb1WNNfCX
1HSqCfZ5KMyOrAAG5MNAec,Jangan Tunggu Lama-Lama,1394418,6iwGYa6SkkbWU3JjwLuTAQ
1HX3KIVlZpHR7wobHvQQZ3,With Heaven On Top,3123019,40ZNYROS4zLfyyBSs2PGe2
1HadQI0LBZKqF2J6iTRn0t,Nighthawk - Reprise,4159330,6gLleDsNwfehG7vWuK2zQe
1IuKaTWoBcNkvaUFhGVAr6,Paleta,2370764,62SDpKzU9fECZG82LALByM
1IwA4UYENdDLtR0IlfYFnE,RATHER BE (feat. Lithe),7480796,2tIP7SsRs7vjIcLrU85W8J
1JaejNe1XaN3a4UH2mOkHS,MOSHPIT (Gachiakuta),596789,1FDAJKaPzIzRHJrl3Smitm
1JeJ5XwrM2qPa7tDS2CRQx,The Old Law,603135,2kGBy2WHvF0VdZyqiVCkDT
1K91ZzDBDvdnY8KwbTlUCL,Playa Marina,2893548,1i8SpTcr7yvPOmcqrbnVXY
1K9LuUxnZtDcErhIn2jySJ,Cadaqués en Novembre_freestyle 2025,746182,5mmEMfYChd6MImBagU7zCs
1KT9uTI809NevhxpAsorlB,VAZIO ETERNO - Super Slowed,548738,2JDnku4kiI3LuXeyKtzrhU
1KtEXGKXiuTvQ1X7X6NMxP,Ngga Dulu,667509,5Og7odNbxSKQJ023S4MHVw
1L1VsIE7gnQr9hHCpAwO3o,HEAVENLY JUMPSTYLE,8246137,1HcduAQRxX1Q9hOTAQ8bOI
1NA4kISEy45Ku4EFtR9xwg,numb,3951584,0TZD5e7AMfl6KIOoBrAoye
1OGEmshkPfuviqljSRYW6a,Fitratein,5123322,4YRxDV8wJFPHPTeXepOstw
1OHj2WRXOR9XdCV6PuptXv,Amarte más no pude - En vivo,1904884,4FoMtKClFtTNsfQN7ivDII
1OeW24Ek3LEthuQz1UyYCj,Lost,5182092,28uJnu5EsrGml2tBd7y8ts
1P8c9qEkkEj7uJxnSWd7NX,BRISA TE LEVAR - SLOWED,2018470,1qaCszXlFNPEnCELYBixa5
1PPKxYbWmwZuOkD82NcT2V,Tu Trauma,999363,3yJ7q2MEpB9SLK9Xy1EJ2F
1PTHYCi18n0dCNv0xOxtt4,Vida de Cão / Ponto Final - Ao Vivo,9073888,3hq7WoPJsrRP0KMSLhUgRz
1PqDC7jkamgyygktxr4CQD,Stereo Love,750911,2Wzb0u138rgoZQTK3ytknT
1Q0pG9JMCGpJ6uyFC9GvkZ,Conceited - What The Fuck,4062121,2WqpiFf7QEVviSgnMrzalX
1Q3UUPU4Pl4zVsmIDsQxDU,Good Things Will Come After the Pressure,775363,1uRxRKC7d9zwYGSRflTKDR
1Q7xmcaclrfJlzsUKPo90N,las guapas no morimos de verdad,802103,0Hx5M9oJbPM1sGqQ6iNgkB
